scientificName,vernacularName,family,genus,sourceStatus,status
Ammoniropa vigens,Ammonite Pinwheel Snail,Charopidae,Ammoniropa,Critically Endangered,Critically Endangered
Amperea xiphoclada var. pedicellata,-,Euphorbiaceae,Amperea,Extinct,Extinct
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Poaceae,Amphibromus,Vulnerable,Vulnerable
Amphibromus whitei,-,Poaceae,Amphibromus,Extinct,Extinct
Amyema plicatula,-,Loranthaceae,Amyema,Endangered,Endangered
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Maluridae,Amytornis,Endangered,Endangered
Amytornis dorotheae,Carpentarian Grasswren,Maluridae,Amytornis,Endangered,Endangered
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Maluridae,Amytornis,Vulnerable,Vulnerable
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Maluridae,Amytornis,Endangered,Endangered
Amytornis modestus,Thick-billed Grasswren,Maluridae,Amytornis,Vulnerable,Vulnerable
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Maluridae,Amytornis,Critically Endangered,Critically Endangered
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Maluridae,Amytornis,Vulnerable,Vulnerable
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Maluridae,Amytornis,Vulnerable,Vulnerable
Andersonia annelsii,-,Ericaceae,Andersonia,Critically Endangered,Critically Endangered
Andersonia axilliflora,Giant Andersonia,Ericaceae,Andersonia,Critically Endangered,Critically Endangered
Andersonia gracilis,Slender Andersonia,Epacridaceae,Andersonia,Endangered,Endangered
Andersonia pinaster,Two Peoples Bay Andersonia,Epacridaceae,Andersonia,Vulnerable,Vulnerable
Androcalva adenothalia,-,Malvaceae,Androcalva,Critically Endangered,Critically Endangered
Androcalva bivillosa,Straggling Androcalva,Malvaceae,Androcalva,Critically Endangered,Critically Endangered
Androcalva perkinsiana,Headland Commersonia,Malvaceae,Androcalva,Critically Endangered,Critically Endangered
Androcalva perlaria,Pearl-like Androcalva,Malvaceae,Androcalva,Endangered,Endangered
Androcalva procumbens,-,Malvaceae,Androcalva,Vulnerable,Vulnerable
Androcalva rosea,Sandy Hollow Commersonia,Malvaceae,Androcalva,Endangered,Endangered
Angophora inopina,Charmhaven Apple,Myrtaceae,Angophora,Vulnerable,Vulnerable
Angophora robur,Sandstone Rough-barked Apple,Myrtaceae,Angophora,Vulnerable,Vulnerable
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Haemodoraceae,Anigozanthos,Endangered,Endangered
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Haemodoraceae,Anigozanthos,Vulnerable,Vulnerable
Anilios insperatus,Fassifern Blind Snake,Typhlopidae,Anilios,Critically Endangered,Critically Endangered
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Scincidae,Anomalopus,Vulnerable,Vulnerable
Anous tenuirostris melanops,Australian Lesser Noddy,Laridae,Anous,Vulnerable,Vulnerable
Antechinus argentus,Silver-headed Antechinus,Dasyuridae,Antechinus,Endangered,Endangered
Antechinus arktos,Black-tailed Antechinus,Dasyuridae,Antechinus,Endangered,Endangered
Antechinus bellus,Fawn Antechinus,Dasyuridae,Antechinus,Vulnerable,Vulnerable
Antechinus minimus maritimus,Swamp Antechinus (mainland),Dasyuridae,Antechinus,Vulnerable,Vulnerable
Anthocercis gracilis,Slender Tailflower,Solanaceae,Anthocercis,Vulnerable,Vulnerable
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Meliphagidae,Anthochaera,Vulnerable,Vulnerable
Anthochaera phrygia,Regent Honeyeater,Meliphagidae,Anthochaera,Critically Endangered,Critically Endangered
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Poaceae,Anthosachne,Critically Endangered,Critically Endangered
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Hesperiidae,Antipodia,Endangered,Endangered
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Pteridaceae,Antrophyum,Critically Endangered,Critically Endangered
Apatophyllum olsenii,-,Celastraceae,Apatophyllum,Vulnerable,Vulnerable
Aphelocephala leucopsis,Southern Whiteface,Pardalotidae,Aphelocephala,Vulnerable,Vulnerable
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Apiaceae,Apium,Vulnerable,Vulnerable
Aplonis fusca,Tasman Starling,Sturnidae,Aplonis,Extinct,Extinct
Aponogeton bullosus,-,Aponogetonaceae,Aponogeton,Endangered,Endangered
Aponogeton prolifer,an aquatic herb,Aponogetonaceae,Aponogeton,Endangered,Endangered
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Pygopodidae,Aprasia,Vulnerable,Vulnerable
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Pygopodidae,Aprasia,Vulnerable,Vulnerable
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Accipitridae,Aquila,Endangered,Endangered
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Fabaceae,Archidendron,Vulnerable,Vulnerable
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Arecaceae,Archontophoenix,Endangered,Endangered
Arctocephalus tropicalis,Subantarctic Fur-seal,Otariidae,Arctocephalus,Endangered,Endangered
Argynnis hyperbius inconstans,Australian Fritillary,Nymphalidae,Argynnis,Critically Endangered,Critically Endangered
Argyrotegium nitidulum,Shining Cudweed,Asteraceae,Argyrotegium,Vulnerable,Vulnerable
Aristida annua,-,Poaceae,Aristida,Vulnerable,Vulnerable
Aristida granitica,-,Poaceae,Aristida,Endangered,Endangered
Arthraxon hispidus,Hairy-joint Grass,Poaceae,Arthraxon,Vulnerable,Vulnerable
Asperula asthenes,Trailing Woodruff,Rubiaceae,Asperula,Vulnerable,Vulnerable
Asplenium hookerianum,Maidenhair Spleenwort,Aspleniaceae,Asplenium,Vulnerable,Vulnerable
Asplenium listeri,Christmas Island Spleenwort,Aspleniaceae,Asplenium,Critically Endangered,Critically Endangered
Asplenium pellucidum,-,Aspleniaceae,Asplenium,Vulnerable,Vulnerable
Asplenium wildii,-,Aspleniaceae,Asplenium,Vulnerable,Vulnerable
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Parastacidae,Astacopsis,Vulnerable,Vulnerable
Astelia australiana,Tall Astelia,Liliaceae,Astelia,Vulnerable,Vulnerable
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Rutaceae,Asterolasia,Critically Endangered,Critically Endangered
Asterolasia beckersii,Dungowan Starbush,Rutaceae,Asterolasia,Critically Endangered,Critically Endangered
Asterolasia elegans,-,Rutaceae,Asterolasia,Endangered,Endangered
Asterolasia nivea,Bindoon Starbush,Rutaceae,Asterolasia,Vulnerable,Vulnerable
Asterolasia phebalioides,Downy Star-bush,Rutaceae,Asterolasia,Vulnerable,Vulnerable
Astrotricha crassifolia,Thick-leaf Star-hair,Araliaceae,Astrotricha,Vulnerable,Vulnerable
Astrotricha roddii,-,Araliaceae,Astrotricha,Endangered,Endangered
Atalaya brevialata,-,Sapindaceae,Atalaya,Critically Endangered,Critically Endangered
Atalaya collina,Yarwun Whitewood,Sapindaceae,Atalaya,Endangered,Endangered
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Atrichornithidae,Atrichornis,Endangered,Endangered
Atrichornis rufescens,Rufous Scrub-bird,Atrichornithidae,Atrichornis,Endangered,Endangered
Atriplex infrequens,-,Chenopodiaceae,Atriplex,Vulnerable,Vulnerable
Atriplex yeelirrie,-,Chenopodiaceae,Atriplex,Endangered,Endangered
Austrocordulia leonardi,Sydney Hawk Dragonfly,Austrocorduliidae,Austrocordulia,Endangered,Endangered
Austrostipa bronwenae,-,Poaceae,Austrostipa,Endangered,Endangered
Austrostipa jacobsiana,-,Poaceae,Austrostipa,Critically Endangered,Critically Endangered
Austrostipa metatoris,-,Poaceae,Austrostipa,Vulnerable,Vulnerable
Austrostipa wakoolica,-,Poaceae,Austrostipa,Endangered,Endangered
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Apiaceae,Azorella,Critically Endangered,Critically Endangered
Baeckea kandos,a shrub,Myrtaceae,Baeckea,Endangered,Endangered
Balaenoptera borealis,Sei Whale,Balaenopteridae,Balaenoptera,Vulnerable,Vulnerable
Balaenoptera musculus,Blue Whale,Balaenopteridae,Balaenoptera,Endangered,Endangered
Balaenoptera physalus,Fin Whale,Balaenopteridae,Balaenoptera,Vulnerable,Vulnerable
Ballantinia antipoda,Southern Shepherd's Purse,Brassicaceae,Ballantinia,Endangered,Endangered
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Euphorbiaceae,Baloghia,Vulnerable,Vulnerable
Baloskion longipes,Dense Cord-rush,Restionaceae,Baloskion,Vulnerable,Vulnerable
Banksia anatona,Cactus Dryandra,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia aurantia,Orange Dryandra,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia catoglypta,-,Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Proteaceae,Banksia,Endangered,Endangered
Banksia fuscobractea,Dark-bract Banksia,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia goodii,Good's Banksia,Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia ionthocarpa,Kamballup Dryandra,Proteaceae,Banksia,Endangered,Endangered
Banksia mimica,Summer Honeypot,Proteaceae,Banksia,Endangered,Endangered
Banksia montana,Stirling Range Dryandra,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia nivea subsp. uliginosa,Swamp Honeypot,Proteaceae,Banksia,Endangered,Endangered
Banksia oligantha,Wagin Banksia,Proteaceae,Banksia,Endangered,Endangered
Banksia pseudoplumosa,False Plumed-Banksia,Proteaceae,Banksia,Endangered,Endangered
Banksia rufa subsp. pumila,-,Proteaceae,Banksia,Endangered,Endangered
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia sphaerocarpa var. dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Proteaceae,Banksia,Vulnerable,Vulnerable
Banksia vincentia,-,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Barbarea australis,"Native Wintercress, Riverbed Wintercress",Brassicaceae,Barbarea,Endangered,Endangered
Bellatorias obiri,Arnhem Land Egernia,Scincidae,Bellatorias,Endangered,Endangered
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Migidae,Bertmainius,Vulnerable,Vulnerable
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Migidae,Bertmainius,Endangered,Endangered
Bertya calycina,a shrub,Euphorbiaceae,Bertya,Vulnerable,Vulnerable
Bertya ernestiana,Mt Ernest Bertya,Euphorbiaceae,Bertya,Vulnerable,Vulnerable
Bertya granitica,a shrub,Euphorbiaceae,Bertya,Endangered,Endangered
Bertya ingramii,a shrub,Euphorbiaceae,Bertya,Endangered,Endangered
Bertya mollissima,-,Euphorbiaceae,Bertya,Endangered,Endangered
Bertya opponens,-,Euphorbiaceae,Bertya,Vulnerable,Vulnerable
Bertya pinifolia,a shrub,Euphorbiaceae,Bertya,Vulnerable,Vulnerable
Bertya sp. Clouds Creek (M. Fatemi 4),-,Euphorbiaceae,Bertya,Endangered,Endangered
Bertya tasmanica subsp. tasmanica,Tasmanian Bertya,Euphorbiaceae,Bertya,Endangered,Endangered
Bettongia anhydra,Desert Bettong,Potoroidae,Bettongia,Extinct,Extinct
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Potoroidae,Bettongia,Extinct,Extinct
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Potoroidae,Bettongia,Vulnerable,Vulnerable
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Potoroidae,Bettongia,Extinct,Extinct
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Potoroidae,Bettongia,Vulnerable,Vulnerable
Bettongia penicillata ogilbyi,Woylie,Potoroidae,Bettongia,Endangered,Endangered
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Potoroidae,Bettongia,Extinct,Extinct
Bettongia pusilla,Nullarbor Dwarf Bettong,Potoroidae,Bettongia,Extinct,Extinct
Bettongia tropica,Northern Bettong,Potoroidae,Bettongia,Endangered,Endangered
Beyeria lepidopetala,"Small-petalled Beyeria, Short-petalled Beyeria",Euphorbiaceae,Beyeria,Endangered,Endangered
Beyeria subtecta,Kangaroo Island Turpentine Bush,Euphorbiaceae,Beyeria,Vulnerable,Vulnerable
Bidyanus bidyanus,"Silver Perch, Bidyan",Terapontidae,Bidyanus,Critically Endangered,Critically Endangered
Blechnum norfolkianum,Norfolk Island Water-fern,Blechnaceae,Blechnum,Endangered,Endangered
Boehmeria australis subsp. australis,"Tree Nettle, Nettletree",Urticaceae,Boehmeria,Critically Endangered,Critically Endangered
Boronia adamsiana,Barbalin Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia capitata subsp. capitata,a shrub,Rutaceae,Boronia,Endangered,Endangered
Boronia clavata,Bremer Boronia,Rutaceae,Boronia,Endangered,Endangered
Boronia deanei,Deane's Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia exilis,Scott River Boronia,Rutaceae,Boronia,Endangered,Endangered
Boronia galbraithiae,"Aniseed Boronia, Galbraith's Boronia",Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia granitica,Granite Boronia,Rutaceae,Boronia,Endangered,Endangered
Boronia gunnii,"Gunn's Boronia, Cataract Gorge Boronia",Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia hemichiton,Mt Arthur Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia hippopala,Velvet Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia inflexa subsp. torringtonensis,-,Rutaceae,Boronia,Critically Endangered,Critically Endangered
Boronia keysii,Key's Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia quadrilata,a shrub,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia repanda,"Repand Boronia, Border Boronia",Rutaceae,Boronia,Endangered,Endangered
Boronia revoluta,Ironcap Boronia,Rutaceae,Boronia,Endangered,Endangered
Boronia umbellata,Orara Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Boronia viridiflora,a shrub,Rutaceae,Boronia,Vulnerable,Vulnerable
Borya mirabilis,Grampians Pincushion-lily,Boryaceae,Borya,Endangered,Endangered
Bosistoa transversa,"Three-leaved Bosistoa, Yellow Satinheart",Rutaceae,Bosistoa,Vulnerable,Vulnerable
Bossiaea fragrans,-,Fabaceae,Bossiaea,Critically Endangered,Critically Endangered
Bossiaea oligosperma,-,Fabaceae,Bossiaea,Vulnerable,Vulnerable
Bossiaea peninsularis,Sword Bossiaea,Fabaceae,Bossiaea,Endangered,Endangered
Bossiaea sp. Frankland (E.M.Sandiford EMS 896),-,Fabaceae,Bossiaea,Endangered,Endangered
