category,scientificname,vernacularname,taxonrank,taxonomicstatus,kingdom,phylum,class,order,family,sourcestatus,status,authority,ngunnawal,comments,taxonremarks
Bird,Hirundapus caudacutus,White-throated Needletail,species,accepted,Animalia,Chordata,Aves,Apodiformes,Apodidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Mammal,Isoodon obesulus,Southern Brown Bandicoot,species,accepted,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Mandawari,"as all ACT occurrences of this species are subsp. obesulus, ACT considers this is a synonym of the listed subspecies",all ACT occurrences are subsp. obesulus
Mammal,Isoodon obesulus obesulus,Southern Brown Bandicoot,subspecies,accepted,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Mandawari,,
Invertebrate,Keyacris scurra,Key's Matchstick Grasshopper,species,accepted,Animalia,Arthropoda,Insecta,Orthoptera,Morabidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,NI2023-222,
Bird,Lalage tricolor,White-winged Triller,species,accepted,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Bird,Lathamus discolor,Swift Parrot,species,accepted,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,
Plant,Lepidium ginninderrense,Ginninderra Peppercress,species,accepted,Plantae,Charophyta,Equisetopsida,Brassicales,Brassicaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Reptile,Liopholis montana,Mountain Skink,species,accepted,Animalia,Chordata,Reptilia,Squamata,Scincidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,NI2023-224,
Frog,Litoria aurea,Green and Golden Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,Locally extinct,
Frog,Litoria castanea,Yellow-spotted Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,Locally extinct,
Frog,Litoria raniformis,Southern Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,Locally extinct,
Frog,Litoria verreauxii alpina,Alpine Tree Frog,subspecies,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Fish,Maccullochella macquariensis,Trout Cod,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gudu,,
Fish,Macquaria australasica,Macquarie Perch,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gubay,,
Mammal,Mastacomys fuscus,Broad-toothed Rat,species,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),Luda,"as all ACT occurrences of this species are subsp. mordicus, ACT considers this is a synonym of the listed subspecies",all ACT occurrences are subsp. mordicus
Mammal,Mastacomys fuscus mordicus,Broad-toothed Rat,subspecies,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),Luda,,
Bird,Melanodryas cucullata,Hooded Robin,species,accepted,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,"as all ACT occurrences of this species are subsp. lathami, ACT considers this is a synonym of the listed subspecies",all ACT occurrences are subsp. cucullata
Bird,Melanodryas cucullata cucullata,Hooded Robin,subspecies,accepted,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Plant,Muehlenbeckia tuggeranong,Tuggeranong Lignum,species,accepted,Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Invertebrate,Perunga ochracea,Perunga Grasshopper,species,accepted,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),Baaman,,
Mammal,Petauroides volans,Southern Greater Glider,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Banguu,NI2023-226,
Mammal,Petaurus australis,Yellow-bellied Glider,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,NI2023-227,
Mammal,Petrogale penicillata,Brush-tailed Rock-wallaby,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Baray,,
Bird,Petroica boodang,Scarlet Robin,species,accepted,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Mammal,Phascolarctos cinereus,Koala,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gula,NI2023-223,
Bird,Polytelis swainsonii,Superb Parrot,species,accepted,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Plant,Pomaderris pallida,Pale Pomaderris,species,accepted,Plantae,Charophyta,Equisetopsida,Rosales,Rhamnaceae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Plant,Prasophyllum petilum,Tarengo Leek Orchid,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Mammal,Pseudomys fumeus,Smoky Mouse,species,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Ganimang,,
Mammal,Pseudomys novaehollandiae,New Holland Mouse,species,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Frog,Pseudophryne pengilleyi,Northern Corroboree Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),Galaangga,,
Mammal,Pteropus poliocephalus,Grey-headed Flying-fox,species,accepted,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Plant,Pterostylis oreophila,Kiandra Greenhood,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,
Bird,Pycnoptilus floccosus,Pilotbird,species,accepted,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,NI2023-225,
Bird,Rostratula australis,Australian Painted Snipe,species,accepted,Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,included in ACT Migratory Species Action Plan,
Plant,Rutidosis leptorhynchoides,Button Wrinklewort,species,accepted,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Plant,Swainsona recta,Small Purple Pea,species,accepted,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,
Invertebrate,Synemon plana,Golden Sun Moth,species,accepted,Animalia,Arthropoda,Insecta,Lepidoptera,Castniidae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,NI2023-221,
Plant,Thesium australe,Austral Toadflax,species,accepted,Plantae,Charophyta,Equisetopsida,Malpighiales,Santalaceae,Vulnerable,Vulnerable,Nature Conservation Act 2014 (ACT),,,
Reptile,Tympanocryptis lineata,Canberra Grassland Earless Dragon,species,accepted,Animalia,Chordata,Reptilia,Squamata,Agamidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,NI2023-218,
Reptile,Tympanocryptis pinguicolla,Grassland Earless Dragon,species,homotypic synonym,Animalia,Chordata,Reptilia,Squamata,Agamidae,,Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,Homotypic synonym of Tympanocryptis lineata,Homotypic synonym of Tympanocryptis lineata
