"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Agrostis propinqua","https://id.biodiversity.org.au/node/apni/2906664","Agrostis propinqua","Poaceae",,"Mountain Bent","Poorly Known","Least Concern/Unknown"
"Ozothamnus adnatus","https://id.biodiversity.org.au/node/apni/2892790","Ozothamnus adnatus","Asteraceae",,"Winged Everlasting","Vulnerable","Endangered"
"Westriplectes pedderensis","urn:lsid:biodiversity.org.au:afd.taxon:c7a80352-1251-49f4-ac71-168ea7c6e7b9","Westriplectes pedderensis","Leptoceridae",,"Caddisfly","Vulnerable","Endangered"
"Allocasuarina grampiana","https://id.biodiversity.org.au/node/apni/2900194","Allocasuarina grampiana","Casuarinaceae",,"Grampians Sheoak","Rare","Near Threatened"
"Geopelia cuneata","urn:lsid:biodiversity.org.au:afd.taxon:cd5d42fe-e117-47ba-983b-29bf388a3cdf","Geopelia cuneata","Columbidae",,"Diamond Dove","Listed under FFG Act",""
"Amphiura (Amphiura) trisacantha","urn:lsid:biodiversity.org.au:afd.taxon:6edfa50c-5555-4f92-8a9c-4da9d29e8ed5","Amphiura (Amphiura) trisacantha","Amphiuridae",,"Brittle Star Species","Vulnerable","Endangered"
"Sticherus tener","https://id.biodiversity.org.au/node/apni/2896351","Sticherus tener","Gleicheniaceae",,"Silky Fan Fern","Rare","Near Threatened"
"Acacia irrorata subsp. irrorata","https://id.biodiversity.org.au/node/apni/2919340","Acacia irrorata subsp. irrorata","Fabaceae",,"Green Wattle","Vulnerable","Endangered"
"Thyone nigra","urn:lsid:biodiversity.org.au:afd.taxon:19765528-5224-47a5-af75-2dbcf7bef26f","Thyone nigra","Thyonidae",,"Sea Cucumber","Listed under FFG Act",""
"Calamoecia australica","urn:lsid:biodiversity.org.au:afd.taxon:1ea4a06b-1b6c-4be1-aa46-055836a23581","Calamoecia australica","Centropagidae",,"Calanoid Copepod","Vulnerable","Endangered"
"Prostanthera saxicola var. bracteolata","https://id.biodiversity.org.au/node/apni/2896385","Prostanthera saxicola var. bracteolata","Lamiaceae",,"Mint Bush","Rare","Near Threatened"
"Rulingia dasyphylla","https://id.biodiversity.org.au/node/apni/2909679","Commersonia dasyphylla","Malvaceae",,"Kerrawang","Vulnerable","Endangered"
"Usnea acromelana","NZOR-6-107268","Usnea acromelana","Parmeliaceae",,"Black-beard Lichen","Endangered","Endangered"
"Pomaderris briagolensis","https://id.biodiversity.org.au/node/apni/2892205","Pomaderris briagolensis","Rhamnaceae",,"Olive-leaf Pomaderris","Rare","Near Threatened"
"Austrostipa tenuifolia","https://id.biodiversity.org.au/node/apni/2893736","Austrostipa tenuifolia","Poaceae",,"Long-awn Spear-grass","Vulnerable","Endangered"
"Cardamine astoniae","https://id.biodiversity.org.au/node/apni/2909235","Cardamine astoniae","Brassicaceae",,"Spreading Bitter-cress","Vulnerable","Endangered"
"Pomatostomus (Pomatostomus) temporalis temporalis","urn:lsid:biodiversity.org.au:afd.taxon:10346224-800b-4a38-84d2-87f5c8fdc0f7","Pomatostomus (Pomatostomus) temporalis temporalis","Pomatostomidae",,"Grey-crowned Babbler","Listed under FFG Act",""
"Bolboschoenus fluviatilis","https://id.biodiversity.org.au/node/apni/2886595","Bolboschoenus fluviatilis","Cyperaceae",,"Marsh Club-rush","Poorly Known","Least Concern/Unknown"
"Acacia howittii","https://id.biodiversity.org.au/node/apni/2904455","Acacia howittii","Fabaceae",,"Howitt's Wattle","Rare","Near Threatened"
"Astrotricha ledifolia s.s.","ALA_Astrotricha_ledifolia_s_s","Astrotricha ledifolia s.s.",,,"Common Star-hair","Rare","Near Threatened"
"Acacia daviesii","https://id.biodiversity.org.au/node/apni/2917784","Acacia daviesii","Fabaceae",,"Timbertop Wattle","Vulnerable","Endangered"
"Acacia x grayana","https://id.biodiversity.org.au/node/apni/2891783","Acacia x grayana","Fabaceae",,"Wimmera Wattle","Rare","Near Threatened"
"Digitaria ammophila","https://id.biodiversity.org.au/node/apni/2893136","Digitaria ammophila","Poaceae",,"Cotton Panic","Vulnerable","Endangered"
"Pseudonaja nuchalis","urn:lsid:biodiversity.org.au:afd.taxon:ac27aa4a-48d6-421b-8b58-8b2dedd10f6a","Pseudonaja nuchalis","Elapidae",,"Western Brown Snake","Data Deficient or Delisted","Least Concern/Unknown"
"Brachyscome gracilis","https://id.biodiversity.org.au/taxon/apni/51267828","Brachyscome gracilis","Asteraceae",,"Dookie Daisy","Listed under FFG Act",""
"Elytrophorus spicatus","https://id.biodiversity.org.au/node/apni/2889261","Elytrophorus spicatus","Poaceae",,"Spike Grass","Poorly Known","Least Concern/Unknown"
"Correa aemula x reflexa","ALA_Correa_aemula_x_reflexa","Correa aemula x reflexa",,,"Hairy Correa X Common Correa","Rare","Near Threatened"
"Kelleria laxa","https://id.biodiversity.org.au/taxon/apni/51294495","Kelleria bogongensis","Thymelaeaceae",,"Kelleria","Endangered","Endangered"
"Lepidium monoplocoides","https://id.biodiversity.org.au/node/apni/2898274","Lepidium monoplocoides","Brassicaceae",,"Winged Peppercress","Listed under FFG Act",""
"Acacia verticillata subsp. ruscifolia","https://id.biodiversity.org.au/node/apni/2905095","Acacia verticillata subsp. ruscifolia","Fabaceae",,"Broad-leaf Prickly Moses","Rare","Near Threatened"
"Abutilon fraseri subsp. diplotrichum","https://id.biodiversity.org.au/node/apni/2919021","Abutilon fraseri subsp. diplotrichum","Malvaceae",,"Dwarf Lantern-flower","Endangered","Endangered"
"Correa reflexa","https://id.biodiversity.org.au/taxon/apni/51300001","Correa reflexa","Rutaceae",,"Common Correa","Endangered","Endangered"
"Rhagodia ulicina","https://id.biodiversity.org.au/node/apni/2891253","Rhagodia ulicina","Chenopodiaceae",,"Spiny Goosefoot","Rare","Near Threatened"
"Melanotaenia fluviatilis","urn:lsid:biodiversity.org.au:afd.taxon:21d7aff4-0ab3-4980-80e9-50c0c7e58564","Melanotaenia fluviatilis","Melanotaeniidae",,"Murray River Rainbowfish","Data Deficient or Delisted","Least Concern/Unknown"
"Calostemma abdicatum","https://id.biodiversity.org.au/node/apni/2899705","Calostemma abdicatum","Amaryllidaceae",,"Garland Lily","Rare","Near Threatened"
"Tetragonia moorei","https://id.biodiversity.org.au/node/apni/2901957","Tetragonia moorei","Aizoaceae",,"Annual Spinach","Poorly Known","Least Concern/Unknown"
"Engaeus mallacoota","urn:lsid:biodiversity.org.au:afd.taxon:0584e3f4-14a7-4854-8ded-b395a6b8a9f9","Engaeus mallacoota","Parastacidae",,"Mallacoota Burrowing Cray","Listed under FFG Act",""
"Hibbertia pallidiflora","https://id.biodiversity.org.au/node/apni/2896706","Hibbertia pallidiflora","Dilleniaceae",,"Pale Guinea-flower","Rare","Near Threatened"
"Caladenia aff. oenochila (St Andrews)","https://id.biodiversity.org.au/name/apni/119069","Caladenia oenochila","Orchidaceae",,"St Andrews Spider-orchid","Endangered","Endangered"
"Leptomeria drupacea","https://id.biodiversity.org.au/node/apni/2892780","Leptomeria drupacea","Santalaceae",,"Pale Currant-bush","Rare","Near Threatened"
"Euastacus crassus","urn:lsid:biodiversity.org.au:afd.taxon:96c67573-b1dc-41b6-ab55-5442a15991d2","Euastacus crassus","Parastacidae",,"Alpine Spiny Cray","Endangered","Endangered"
"Diomedea exulans exulans","urn:lsid:biodiversity.org.au:afd.taxon:4eed45a2-d155-4feb-851b-4738b9582a13","Diomedea exulans exulans","Diomedeidae",,"Wandering Albatross","Listed under FFG Act",""
"Excalfactoria chinensis victoriae","urn:lsid:biodiversity.org.au:afd.taxon:18e2970a-1d33-4931-a657-6ad6cd1b9b5d","Excalfactoria chinensis victoriae","Phasianidae",,"King Quail","Listed under FFG Act",""
"Corybas despectans","https://id.biodiversity.org.au/name/apni/81674","Corybas despectans","Orchidaceae",,"Sandhill Helmet Orchid","Listed under FFG Act",""
"Trapezites sciron eremicola","urn:lsid:biodiversity.org.au:afd.taxon:cc51bddd-fda2-41bf-bbc5-8e00646ae1d6","Trapezites sciron eremicola","Hesperiidae",,"Sciron Skipper","Rare and Restricted","Near Threatened"
"Baeckea linifolia","https://id.biodiversity.org.au/node/apni/2898607","Baeckea linifolia","Myrtaceae",,"Swamp Baeckea","Rare","Near Threatened"
