"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Miselaoma weldi ","urn:lsid:biodiversity.org.au:afd.taxon:bd49bc66-9c8a-4be1-9327-8e6be3227b5d","Miselaoma weldii","Punctidae",,"Stanley Snail","Endangered","Endangered"
"Neophema (Neonanodes) chrysogaster","urn:lsid:biodiversity.org.au:afd.taxon:bb3b5394-ebf7-41cc-8cd7-9f9bd28fa8e7","Neophema (Neonanodes) chrysogaster","Psittacidae",,"Orange-bellied Parrot","Endangered","Endangered"
"Boronia hemichiton","https://id.biodiversity.org.au/node/apni/2903230","Boronia hemichiton","Rutaceae",,"Mt Arthur Boronia","Endangered","Endangered"
"Beddomeia mesibovi","urn:lsid:biodiversity.org.au:afd.taxon:5e00263c-8f8b-4d94-ba30-eb29ef9c46eb","Beddomeia mesibovi","Tateidae",,"Hydrobiid Snail (arthur River)","Rare","Near Threatened"
"Lasiopetalum discolor","https://id.biodiversity.org.au/node/apni/2890029","Lasiopetalum discolor","Malvaceae",,"Coast Velvetbush","Rare","Near Threatened"
"Sicyos australis","https://id.biodiversity.org.au/node/apni/2893741","Sicyos australis","Cucurbitaceae",,"Star Cucumber","Rare","Near Threatened"
"Isoetopsis graminifolia","https://id.biodiversity.org.au/node/apni/2889970","Isoetopsis graminifolia","Asteraceae",,"Grass Buttons","Vulnerable","Endangered"
"Tasniphargus tyleri","urn:lsid:biodiversity.org.au:afd.taxon:bafd85f2-056a-42e1-9942-5ffba4e4be14","Tasniphargus tyleri","Neoniphargidae",,"Amphipod (great Lake)","Rare","Near Threatened"
"Velleia paradoxa","https://id.biodiversity.org.au/node/apni/2919650","Velleia paradoxa","Goodeniaceae",,"Spur Velleia","Vulnerable","Endangered"
"Parmotrema crinitum","https://id.biodiversity.org.au/name/apni/130520","Parmotrema crinitum","Parmeliaceae",,"Parmotrema Lichen","Rare","Near Threatened"
"Thalassarche melanophrys","urn:lsid:biodiversity.org.au:afd.taxon:f00842fd-351d-4a2b-959f-7e1a4b31379a","Thalassarche melanophris","Diomedeidae",,"Black-browed Albatross","Endangered","Endangered"
"Puccinellia perlaxa","https://id.biodiversity.org.au/node/apni/2898230","Puccinellia perlaxa","Poaceae",,"Spreading Saltmarshgrass","Rare","Near Threatened"
