Scientific name,Common name,Status,Comments
Anthochaera phrygia  ,Regent Honeyeater,Critically Endangered ,
Lathamus discolor,Swift Parrot,Critically Endangered ,
Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered ,
Caladenia actensis,Canberra Spider Orchid,Critically Endangered ,
Corunastylis ectopa,Brindabella Midge Orchid,Critically Endangered ,
Pterostylis oreophila,Kiandra Greenhood,Critically Endangered ,
Litoria castanea,Yellow-spotted Bell Frog,Critically Endangered ,locally extinct
Gentiana baeuerlenii,Baeuerlen's Gentian,Endangered,
Prasophyllum petilum,Tarengo Leek Orchid,Endangered,
Rutidosis leptorhynchoides,Button Wrinklewort,Endangered,
Swainsona recta,Small Purple Pea,Endangered,
Synemon plana,Golden Sun Moth,Endangered,
Tympanocryptis pinguicolla,Grassland Earless Dragon,Endangered,
Macquaria australasica,Macquarie Perch,Endangered,
Maccullochella macquariensis,Trout Cod,Endangered,
Petrogale penicillata,Brush-tailed Rock-wallaby,Endangered,
Pseudomys fumeus,Smoky Mouse,Endangered,
Muehlenbeckia tuggeranong,Tuggeranong Lignum,Endangered,
Lepidium ginninderrense,Ginninderra Peppercress,Endangered,
Bidyanus bidyanus,Silver Perch,Endangered,
Bossiaea grayi,Murrumbidgee Bossiaea,Endangered,
Botaurus poiciloptilus,Australasian Bittern,Endangered,
Dasyurus viverrinus,Eastern Quoll,Endangered,
Isoodon obesulus obesulus,Southern Brown Bandicoot (Eastern),Endangered,
Rostratula australis,Australian Painted Snipe,Endangered,
Delma impar,Striped Legless Lizard,Vulnerable,
Gadopsis bispinosus,Two-spined Blackfish,Vulnerable,
Euastacus armatus,Murray River Crayfish,Vulnerable,
Perunga ochracea,Perunga Grasshopper,Vulnerable,
Melanodryas cucullata cucullata,Hooded Robin,Vulnerable,
Polytelis swainsonii,Superb Parrot,Vulnerable,
Climacteris picumnus victoriae,Brown Treecreeper,Vulnerable,
Grantiella picta,Painted Honeyeater,Vulnerable,
Dasyurus maculatus maculatus,Spotted-tailed Quoll,Vulnerable,
Daphoenositta chrysoptera,Varied Sittella,Vulnerable,
Lalage tricolor,White-winged Triller,Vulnerable,
Hieraaetus morphnoides,Little Eagle,Vulnerable,
Aprasia parapulchella,Pink-tailed Worm-lizard,Vulnerable,
Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Vulnerable,
Petroica boodang ,Scarlet Robin,Vulnerable,
Mastacomys fuscus mordicus,Broad-toothed Rat (mainland),Vulnerable,
Petauroides volans,Greater Glider,Vulnerable,
Phascolarctos cinereus,Koala (QLD/NSW/ACT population),Vulnerable,
Pseudomys novaehollandiae,New Holland Mouse,Vulnerable,
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,
Litoria aurea,Green and Golden Bell Frog,Vulnerable,locally extinct
Litoria raniformis,Southern Bell Frog,Vulnerable,locally extinct
Litoria verreauxii alpina,Alpine Tree Frog,Vulnerable,
Eucalyptus aggregata,Black Gum,Vulnerable,
Pomaderris pallida,Pale Pomaderris,Vulnerable,
Thesium australe,Austral Toadflax,Vulnerable,
Hirundapus caudacutus,White-throated Needletail,Vulnerable,
Bettongia gaimardi,Eastern Bettong,Regionally Conservation Dependent,
