,Field,Code,Code_description
0,EPBC_status,CD,Conservation Dependent
1,EPBC_status,CE,Critically Endangered
2,EPBC_status,E,Endangered
3,EPBC_status,EX,Extinct
4,EPBC_status,V,Vulnerable
5,EPBC_status,XW,Extinct in the Wild
6,Endemicity,IA,Introduced (Intranational)
7,Endemicity,II,Introduced (International)
8,Endemicity,IU,Introduced (Unknown)
9,Endemicity,Q,Queensland Endemic
10,Endemicity,QA,Intranational
11,Endemicity,QAI,Not Endemic to Australia
12,Endemicity,QI,Regional Endemic
13,Endemicity,U,Unknown
14,Endemicity,VA,Vagrant (Intranational)
15,Endemicity,VI,Vagrant (International)
16,Endemicity,VU,Vagrant (Unknown)
17,NCA_status,C,Least concern
18,NCA_status,CR,Critically endangered
19,NCA_status,E,Endangered
20,NCA_status,EX,Extinct
21,NCA_status,I,International
22,NCA_status,NT,Near threatened
23,NCA_status,PE,Extinct in the wild
24,NCA_status,SL,Special least concern
25,NCA_status,V,Vulnerable
