taxonId,scientificName,vernacularName,WA Status,WA Rank,DBCA District,Distribution,taxonRemarks,status,sourceStatus,status description,class,category,sensitivityZoneId
,Bettongia lesueur lesueur,"Shark Bay burrowing bettong, boodie (Shark Bay)",,,,,30/09/2022 Order of common names changed to indicate preference given by taxonomic authorities. ,Conservation Dependent,CD,Conservation Dependent,MAMMAL,CD,WA
,Bettongia lesueur subsp. (Barrow and Boodie Islands),"Barrow Island burrowing bettong, boodie (Barrow and Boodie Islands)",,,,,30/09/2022 Order of common names changed to indicate preference given by taxonomic authorities. ,Conservation Dependent,CD,Conservation Dependent,MAMMAL,CD,WA
,Cacatua pastinator pastinator,Muir's corella,,,,,,Conservation Dependent,CD,Conservation Dependent,BIRD,CD,WA
,Leporillus conditor,"greater stick-nest rat, wopilkara",,,,,,Conservation Dependent,CD,Conservation Dependent,MAMMAL,CD,WA
,Phascogale calura,"red-tailed phascogale, kenngoor",,,,,,Conservation Dependent,CD,Conservation Dependent,MAMMAL,CD,WA
,Phascogale tapoatafa wambenger,"south-western brush-tailed phascogale, wambenger",,,,,,Conservation Dependent,CD,Conservation Dependent,MAMMAL,CD,WA
,Megaptera novaeangliae,humpback whale,,,,,30/09/2022 Listed as a specially protected migratory species. Listing as a species of special conservation interest (conservation dependent) retained. ,Conservation Dependent,CD & MI,Conservation Dependent,MAMMAL,CD & MI,WA
14049,Acacia aprica,,T,CR,Moora,Carnamah - Coorow,,Critically Endangered,CR,Critically Endangered,,CR,WA
12249,Acacia awestoniana,,T,CR,Albany,Stirling Range N.P.,,Critically Endangered,CR,Critically Endangered,,CR,WA
14062,Acacia cochlocarpa subsp. cochlocarpa,,T,CR,Moora,Watheroo,,Critically Endangered,CR,Critically Endangered,,CR,WA
14063,Acacia cochlocarpa subsp. velutinosa,,T,CR,Central Wheatbelt,"Manmanning, Wongan Hills, Cunderdin",,Critically Endangered,CR,Critically Endangered,,CR,WA
14121,Acacia insolita subsp. recurva,,T,CR,Great Southern,"East Yornaning NR, Narrogin",,Critically Endangered,CR,Critically Endangered,,CR,WA
3415,Acacia leptoneura,,T,CR,Central Wheatbelt,Dowerin,,Critically Endangered,CR,Critically Endangered,,CR,WA
3487,Acacia pharangites,,T,CR,Central Wheatbelt,Wongan Hills,,Critically Endangered,CR,Critically Endangered,,CR,WA
3497,Acacia prismifolia,,T,CR,Albany,"Albany, Stirling Range N.P.",,Critically Endangered,CR,Critically Endangered,,CR,WA
14140,Acacia rhamphophylla,,T,CR,Albany,Kundip,,Critically Endangered,CR,Critically Endangered,,CR,WA
3531,Acacia sciophanes,,T,CR,Central Wheatbelt,"Mukinbudin, Victoria Rock",,Critically Endangered,CR,Critically Endangered,,CR,WA
20439,Acacia splendens,,T,CR,Moora,Dandaragan,,Critically Endangered,CR,Critically Endangered,,CR,WA
14146,Acacia subflexuosa subsp. capillata,,T,CR,Central Wheatbelt,S of Cunderdin,,Critically Endangered,CR,Critically Endangered,,CR,WA
12271,Acacia unguicula,,T,CR,Geraldton,Mt Singleton,,Critically Endangered,CR,Critically Endangered,,CR,WA
3594,Acacia vassalii,,T,CR,"Moora,Central Wheatbelt",Wongan Hills-Watheroo,,Critically Endangered,CR,Critically Endangered,,CR,WA
3597,Acacia volubilis,,T,CR,Central Wheatbelt,Cunderdin,,Critically Endangered,CR,Critically Endangered,,CR,WA
11593,Adenanthos pungens subsp. effusus,,T,CR,Great Southern,"Marribank, Tambellup",,Critically Endangered,CR,Critically Endangered,,CR,WA
14455,Andersonia annelsii,,T,CR,Donnelly,"Perup, Manjimup",,Critically Endangered,CR,Critically Endangered,,CR,WA
6302,Andersonia axilliflora,,T,CR,Albany,Stirling Range N.P.,,Critically Endangered,CR,Critically Endangered,,CR,WA
41740,Andersonia sp. Saxatilis (F. & J. Hort 3324),,T,CR,Perth Hills,"Jarrahdale, Monadnocks C.P.",,Critically Endangered,CR,Critically Endangered,,CR,WA
40902,Androcalva adenothalia,,T,CR,"Geraldton,Central Wheatbelt","Canna, Morawa.",,Critically Endangered,CR,Critically Endangered,,CR,WA
40911,Androcalva bivillosa,,T,CR,Geraldton,"Binnu, Northampton, Hutt River",,Critically Endangered,CR,Critically Endangered,,CR,WA
38481,Austrostipa jacobsiana,,T,CR,"Swan Coastal,Wellington","Gosnells, Bunbury",,Critically Endangered,CR,Critically Endangered,,CR,WA
32686,Banksia anatona,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
1806,Banksia brownii,,T,CR,Albany,Albany-Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
32520,Banksia fuscobractea,,T,CR,Moora,Gillingarra,,Critically Endangered,CR,Critically Endangered,,CR,WA
32219,Banksia ionthocarpa subsp. chrysophoenix,,T,CR,Great Southern,Pingelly,,Critically Endangered,CR,Critically Endangered,,CR,WA
32218,Banksia ionthocarpa subsp. ionthocarpa,,T,CR,Albany,Kamballup,,Critically Endangered,CR,Critically Endangered,,CR,WA
32210,Banksia montana,,T,CR,Albany,Stirling Range,,Critically Endangered,CR,Critically Endangered,,CR,WA
32157,Banksia prionophylla,,T,CR,Moora,Cataby,,Critically Endangered,CR,Critically Endangered,,CR,WA
32083,Banksia serratuloides subsp. perissa,,T,CR,Moora,"Badgingarra, Coomallo, Alexander Morrison NP, Tootbardi",,Critically Endangered,CR,Critically Endangered,,CR,WA
1854,Banksia verticillata,,T,CR,"Albany,Frankland",Albany-Walpole,,Critically Endangered,CR,Critically Endangered,,CR,WA
18492,Brachyscias verecundus,,T,CR,"Blackwood,Donnelly","Busselton, Shannon",,Critically Endangered,CR,Critically Endangered,,CR,WA
13615,Caladenia busselliana,,T,CR,Blackwood,"Marybrook, Capel",,Critically Endangered,CR,Critically Endangered,,CR,WA
13616,Caladenia caesarea subsp. maritima,,T,CR,Blackwood,Dunsborough,,Critically Endangered,CR,Critically Endangered,,CR,WA
19217,Caladenia drakeoides,,T,CR,"Moora,Central Wheatbelt",Meckering-Coorow,,Critically Endangered,CR,Critically Endangered,,CR,WA
13618,Caladenia elegans,,T,CR,Geraldton,N of Northampton,,Critically Endangered,CR,Critically Endangered,,CR,WA
1596,Caladenia huegelii,,T,CR,"Blackwood,Swan Coastal,Wellington",Perth - Capel,,Critically Endangered,CR,Critically Endangered,,CR,WA
18037,Caladenia lodgeana,,T,CR,"Blackwood,Wellington","Margaret River, Augusta, Collie",,Critically Endangered,CR,Critically Endangered,,CR,WA
17864,Caladenia luteola,,T,CR,Great Southern,Woodanilling,,Critically Endangered,CR,Critically Endangered,,CR,WA
13861,Caladenia melanema,,T,CR,Great Southern,"Pingrup, Lake Altham",,Critically Endangered,CR,Critically Endangered,,CR,WA
18038,Caladenia procera,,T,CR,"Blackwood,Wellington","Carbunup, Busselton, Benger",,Critically Endangered,CR,Critically Endangered,,CR,WA
